transaction_id,sender_id,receiver_id,amount,timestamp
TX_001,CYC_A,CYC_B,500.00,2025-06-01 10:00:00
TX_002,CYC_B,CYC_C,520.00,2025-06-01 10:01:00
TX_003,CYC_C,CYC_A,480.00,2025-06-01 10:02:00
TX_004,FI_S1,CYC_A,200.00,2025-06-01 11:00:00
TX_005,FI_S2,CYC_A,205.00,2025-06-01 11:05:00
TX_006,FI_S3,CYC_A,195.00,2025-06-01 11:10:00
TX_007,FI_S4,CYC_A,210.00,2025-06-01 11:15:00
TX_008,FI_S5,CYC_A,190.00,2025-06-01 11:20:00
TX_009,FO_SRC,FO_R1,210.00,2025-06-02 09:00:00
TX_010,FO_SRC,FO_R2,205.00,2025-06-02 09:05:00
TX_011,FO_SRC,FO_R3,215.00,2025-06-02 09:10:00
TX_012,FO_SRC,FO_R4,220.00,2025-06-02 09:15:00
TX_013,FO_SRC,FO_R5,200.00,2025-06-02 09:20:00
TX_014,SH_S,SH_M1,300.00,2025-06-03 08:00:00
TX_015,SH_M1,SH_M2,310.00,2025-06-03 08:05:00
TX_016,SH_M2,SH_E,305.00,2025-06-03 08:10:00
TX_017,CL_A,CL_B,120.00,2025-06-10 10:00:00
TX_018,CL_C,CL_D,80.00,2025-06-10 10:05:00
TX_019,CL_E,CL_F,60.00,2025-06-10 10:10:00
TX_020,CL_G,CL_H,90.00,2025-06-10 10:15:00
TX_021,BN1,BN2,150.00,2025-06-12 09:00:00
TX_022,BN3,BN4,175.00,2025-06-12 09:05:00
TX_023,BN5,BN6,160.00,2025-06-12 09:10:00
TX_024,BN7,BN8,140.00,2025-06-12 09:15:00
TX_025,BN9,BN10,130.00,2025-06-12 09:20:00
TX_026,BN11,BN12,110.00,2025-06-12 09:25:00
TX_027,BN13,BN14,115.00,2025-06-12 09:30:00
TX_028,BN15,BN16,105.00,2025-06-12 09:35:00
TX_029,BN17,BN18,95.00,2025-06-12 09:40:00
TX_030,BN19,BN20,85.00,2025-06-12 09:45:00
