transaction_id,sender_id,receiver_id,amount,timestamp
TXN_A01,HUB,CY_A,5000.00,2026-01-15 00:00:00
TXN_A02,CY_A,CY_B,4800.00,2026-01-15 01:00:00
TXN_A03,CY_B,HUB,4600.00,2026-01-15 02:00:00
TXN_A04,FI_01,HUB,500.00,2026-01-15 03:00:00
TXN_A05,FI_02,HUB,520.00,2026-01-15 04:00:00
TXN_A06,FI_03,HUB,480.00,2026-01-15 05:00:00
TXN_A07,FI_04,HUB,510.00,2026-01-15 06:00:00
TXN_A08,FI_05,HUB,490.00,2026-01-15 07:00:00
TXN_A09,FI_06,HUB,530.00,2026-01-15 08:00:00
TXN_A10,FI_07,HUB,470.00,2026-01-15 09:00:00
TXN_A11,FI_08,HUB,540.00,2026-01-15 10:00:00
TXN_A12,FI_09,HUB,460.00,2026-01-15 11:00:00
TXN_A13,FI_10,HUB,550.00,2026-01-15 12:00:00
TXN_A14,HUB,FO_01,300.00,2026-01-15 13:00:00
TXN_A15,HUB,FO_02,310.00,2026-01-15 14:00:00
TXN_A16,HUB,FO_03,290.00,2026-01-15 15:00:00
TXN_A17,HUB,FO_04,320.00,2026-01-15 16:00:00
TXN_A18,HUB,FO_05,280.00,2026-01-15 17:00:00
TXN_A19,HUB,FO_06,330.00,2026-01-15 18:00:00
TXN_A20,HUB,FO_07,270.00,2026-01-15 19:00:00
TXN_A21,HUB,FO_08,340.00,2026-01-15 20:00:00
TXN_A22,HUB,FO_09,260.00,2026-01-15 21:00:00
TXN_A23,HUB,FO_10,350.00,2026-01-15 22:00:00
TXN_B01,C5_A,C5_B,1000.00,2026-01-16 00:00:00
TXN_B02,C5_B,C5_C,980.00,2026-01-16 01:00:00
TXN_B03,C5_C,C5_D,960.00,2026-01-16 02:00:00
TXN_B04,C5_D,C5_E,940.00,2026-01-16 03:00:00
TXN_B05,C5_E,C5_A,920.00,2026-01-16 04:00:00
TXN_C01,SH_SRC,SH_M1,2000.00,2026-01-17 00:00:00
TXN_C02,SH_M1,SH_M2,1900.00,2026-01-17 01:00:00
TXN_C03,SH_M2,SH_M3,1800.00,2026-01-17 02:00:00
TXN_C04,SH_M3,SH_DST,1700.00,2026-01-17 03:00:00
TXN_D01,NF_01,NEAR_TGT,100.00,2026-01-18 00:00:00
TXN_D02,NF_02,NEAR_TGT,110.00,2026-01-18 01:00:00
TXN_D03,NF_03,NEAR_TGT,120.00,2026-01-18 02:00:00
TXN_D04,NF_04,NEAR_TGT,130.00,2026-01-18 03:00:00
TXN_D05,NF_05,NEAR_TGT,140.00,2026-01-18 04:00:00
TXN_D06,NF_06,NEAR_TGT,150.00,2026-01-18 05:00:00
TXN_D07,NF_07,NEAR_TGT,160.00,2026-01-18 06:00:00
TXN_D08,NF_08,NEAR_TGT,170.00,2026-01-18 07:00:00
TXN_D09,NF_09,NEAR_TGT,180.00,2026-01-18 08:00:00
TXN_E01,SELF_X,SELF_X,500.00,2026-01-19 00:00:00
TXN_F01,TINY_A,TINY_B,0.01,2026-01-20 00:00:00
TXN_F02,TINY_B,TINY_C,0.02,2026-01-20 01:00:00
TXN_F03,TINY_C,TINY_A,0.03,2026-01-20 02:00:00
TXN_G01,BIG_A,BIG_B,99999999.99,2026-01-21 00:00:00
TXN_G02,BIG_B,BIG_A,88888888.88,2026-01-21 01:00:00
TXN_H01,CLN_HUB,CLN_1,200.00,2026-01-22 00:00:00
TXN_H02,CLN_HUB,CLN_2,200.00,2026-01-22 01:00:00
TXN_H03,CLN_HUB,CLN_3,200.00,2026-01-22 02:00:00
TXN_H04,CLN_HUB,CLN_4,200.00,2026-01-22 03:00:00
TXN_H05,CLN_HUB,CLN_5,200.00,2026-01-22 04:00:00
TXN_I01,S60_A,S60_B,1500.00,2026-01-23 00:00:00
TXN_I02,S60_B,S60_C,1400.00,2026-01-23 01:00:00
TXN_I03,S60_C,S60_A,1300.00,2026-01-23 02:00:00
TXN_I04,S60_A,S60_M1,1200.00,2026-01-23 03:00:00
TXN_I05,S60_M1,S60_M2,1100.00,2026-01-23 04:00:00
TXN_I06,S60_M2,S60_DST,1000.00,2026-01-23 05:00:00
TXN_J01,S90_F01,S90_A,400.00,2026-01-24 00:00:00
TXN_J02,S90_F02,S90_A,410.00,2026-01-24 01:00:00
TXN_J03,S90_F03,S90_A,420.00,2026-01-24 02:00:00
TXN_J04,S90_F04,S90_A,430.00,2026-01-24 03:00:00
TXN_J05,S90_F05,S90_A,440.00,2026-01-24 04:00:00
TXN_J06,S90_F06,S90_A,450.00,2026-01-24 05:00:00
TXN_J07,S90_F07,S90_A,460.00,2026-01-24 06:00:00
TXN_J08,S90_F08,S90_A,470.00,2026-01-24 07:00:00
TXN_J09,S90_F09,S90_A,480.00,2026-01-24 08:00:00
TXN_J10,S90_F10,S90_A,490.00,2026-01-24 09:00:00
TXN_J11,S90_A,S90_B,3000.00,2026-01-26 00:00:00
TXN_J12,S90_B,S90_C,2900.00,2026-01-26 01:00:00
